,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes
229,haryana,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,haryana,2002,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
231,haryana,2002,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
232,himachal pradesh,2002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
233,himachal pradesh,2002,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
234,himachal pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,himachal pradesh,2002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
236,jammu & kashmir,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
238,jammu & kashmir,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
240,jammu & kashmir,2002,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
241,jammu & kashmir,2002,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
243,jharkhand,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,jharkhand,2002,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
245,jharkhand,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
247,jharkhand,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,karnataka,2002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
249,karnataka,2002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
250,karnataka,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
251,karnataka,2002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
252,karnataka,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
253,karnataka,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,karnataka,2002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
255,karnataka,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
256,kerala,2002,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
257,kerala,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
258,kerala,2002,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
259,kerala,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
260,madhya pradesh,2002,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
261,madhya pradesh,2002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
262,madhya pradesh,2002,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
263,madhya pradesh,2002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
